timestamp,machine_id,temperature,vibration,pressure,humidity,runtime_hours,failure
2025-04-14 19:27:31.304456,M_05,63.379,0.7748,68.514,34.52,0.0,0
2025-04-14 20:27:31.304456,M_05,63.055,0.7563,67.829,34.144,1.0,0
2025-04-14 21:27:31.304456,M_05,61.038,0.794,67.932,35.771,2.001,0
2025-04-14 22:27:31.304456,M_05,64.478,0.8272,68.487,34.606,3.001,0
2025-04-14 23:27:31.304456,M_05,61.123,0.797,68.585,34.276,4.001,0
2025-04-15 00:27:31.304456,M_05,63.343,0.7999,67.981,34.483,5.002,0
2025-04-15 01:27:31.304456,M_05,62.018,0.7383,67.982,33.773,6.002,0
2025-04-15 02:27:31.304456,M_05,61.678,0.7897,68.441,34.139,7.002,0
2025-04-15 03:27:31.304456,M_05,60.733,0.7329,68.985,35.126,8.003,0
2025-04-15 04:27:31.304456,M_05,63.748,0.7824,68.001,34.621,9.003,0
2025-04-15 05:27:31.304456,M_05,61.321,0.8407,68.529,33.04,10.003,0
2025-04-15 06:27:31.304456,M_05,61.325,0.8783,68.408,36.016,11.004,0
2025-04-15 07:27:31.304456,M_05,62.998,0.825,67.977,33.72,12.004,0
2025-04-15 08:27:31.304456,M_05,63.445,0.707,68.889,35.979,13.005,0
2025-04-15 09:27:31.304456,M_05,63.372,0.8191,68.279,34.139,14.005,0
2025-04-15 10:27:31.304456,M_05,62.63,0.8968,69.018,35.657,15.005,0
2025-04-15 11:27:31.304456,M_05,60.955,0.8047,67.86,36.29,16.006,0
2025-04-15 12:27:31.304456,M_05,62.621,0.8383,68.365,33.443,17.006,0
2025-04-15 13:27:31.304456,M_05,60.374,0.862,68.611,34.343,18.006,0
2025-04-15 14:27:31.304456,M_05,62.986,0.9385,68.369,33.95,19.007,0
2025-04-15 15:27:31.304456,M_05,63.182,0.819,68.52,35.348,20.007,0
2025-04-15 16:27:31.304456,M_05,62.829,0.9334,67.764,33.957,21.007,0
2025-04-15 17:27:31.304456,M_05,61.609,0.9117,68.551,32.591,22.008,0
2025-04-15 18:27:31.304456,M_05,63.75,0.9145,68.031,35.189,23.008,0
2025-04-15 19:27:31.304456,M_05,63.185,0.909,68.823,33.439,24.008,0
2025-04-15 20:27:31.304456,M_05,60.04,0.9434,68.789,34.0,25.009,0
2025-04-15 21:27:31.304456,M_05,60.727,0.8712,68.779,33.011,26.009,0
2025-04-15 22:27:31.304456,M_05,63.115,0.9322,68.848,34.232,27.009,0
2025-04-15 23:27:31.304456,M_05,62.191,0.8992,68.138,33.407,28.01,0
2025-04-16 00:27:31.304456,M_05,61.466,0.8603,68.88,34.646,29.01,0
2025-04-16 01:27:31.304456,M_05,62.403,0.7878,68.555,34.487,30.01,0
2025-04-16 02:27:31.304456,M_05,61.575,0.9468,68.826,33.659,31.011,0
2025-04-16 03:27:31.304456,M_05,63.413,0.8991,68.121,35.219,32.011,0
2025-04-16 04:27:31.304456,M_05,62.795,0.809,68.896,35.158,33.011,0
2025-04-16 05:27:31.304456,M_05,62.904,0.9068,68.556,36.04,34.012,0
2025-04-16 06:27:31.304456,M_05,61.459,0.8786,67.847,35.893,35.012,0
2025-04-16 07:27:31.304456,M_05,60.586,0.9196,68.208,33.494,36.013,0
2025-04-16 08:27:31.304456,M_05,63.224,0.9987,68.388,34.193,37.013,0
2025-04-16 09:27:31.304456,M_05,63.302,0.8783,68.411,34.444,38.013,0
2025-04-16 10:27:31.304456,M_05,61.575,0.8514,68.502,34.091,39.014,0
2025-04-16 11:27:31.304456,M_05,63.138,0.9638,67.611,35.487,40.014,0
2025-04-16 12:27:31.304456,M_05,61.861,0.8886,68.652,35.404,41.014,0
2025-04-16 13:27:31.304456,M_05,62.088,0.9829,68.693,37.86,42.015,0
2025-04-16 14:27:31.304456,M_05,62.755,0.845,68.836,35.669,43.015,0
2025-04-16 15:27:31.304456,M_05,65.376,0.9273,68.348,32.817,44.015,0
2025-04-16 16:27:31.304456,M_05,64.021,0.9593,69.0,35.871,45.016,0
2025-04-16 17:27:31.304456,M_05,61.781,0.9608,68.757,33.131,46.016,0
2025-04-16 18:27:31.304456,M_05,63.728,0.9557,68.18,35.016,47.016,0
2025-04-16 19:27:31.304456,M_05,63.413,1.054,67.382,36.317,48.017,0
2025-04-16 20:27:31.304456,M_05,63.541,0.8878,68.434,35.734,49.017,0
2025-04-16 21:27:31.304456,M_05,63.353,0.8496,68.461,33.292,50.017,0
2025-04-16 22:27:31.304456,M_05,62.998,0.9518,68.965,35.983,51.018,0
2025-04-16 23:27:31.304456,M_05,60.644,0.9848,68.119,33.536,52.018,0
2025-04-17 00:27:31.304456,M_05,62.041,1.0056,68.629,32.834,53.018,0
2025-04-17 01:27:31.304456,M_05,63.516,0.9221,68.454,34.727,54.019,0
2025-04-17 02:27:31.304456,M_05,63.715,0.9637,68.588,35.012,55.019,0
2025-04-17 03:27:31.304456,M_05,63.718,0.9112,68.913,34.446,56.019,0
2025-04-17 04:27:31.304456,M_05,63.597,1.0365,68.573,34.189,57.02,0
2025-04-17 05:27:31.304456,M_05,60.952,0.9552,69.055,36.201,58.02,0
2025-04-17 06:27:31.304456,M_05,63.052,0.9133,68.665,33.018,59.02,0
2025-04-17 07:27:31.304456,M_05,64.809,0.9841,68.566,35.532,60.021,0
2025-04-17 08:27:31.304456,M_05,60.211,1.0617,68.265,34.577,61.021,0
2025-04-17 09:27:31.304456,M_05,63.988,0.9379,67.699,32.858,62.022,0
2025-04-17 10:27:31.304456,M_05,66.202,1.078,68.676,33.632,63.022,0
2025-04-17 11:27:31.304456,M_05,63.427,0.9058,68.245,35.26,64.022,0
2025-04-17 12:27:31.304456,M_05,63.723,0.9101,69.119,35.263,65.023,0
2025-04-17 13:27:31.304456,M_05,64.515,0.9951,67.618,34.981,66.023,0
2025-04-17 14:27:31.304456,M_05,63.369,1.0244,68.431,33.353,67.023,0
2025-04-17 15:27:31.304456,M_05,64.644,1.0341,68.517,36.101,68.024,0
2025-04-17 16:27:31.304456,M_05,60.74,1.0276,67.925,34.951,69.024,0
2025-04-17 17:27:31.304456,M_05,62.963,1.1233,69.43,36.843,70.024,0
2025-04-17 18:27:31.304456,M_05,66.098,1.0165,68.565,34.101,71.025,0
2025-04-17 19:27:31.304456,M_05,65.893,0.9661,68.218,34.329,72.025,0
2025-04-17 20:27:31.304456,M_05,65.216,1.0235,68.426,34.535,73.025,0
2025-04-17 21:27:31.304456,M_05,64.825,1.0819,68.477,35.709,74.026,0
2025-04-17 22:27:31.304456,M_05,62.59,0.982,68.112,36.083,75.026,0
2025-04-17 23:27:31.304456,M_05,63.46,0.9694,68.909,36.585,76.026,0
2025-04-18 00:27:31.304456,M_05,64.952,0.9689,68.436,35.612,77.027,0
2025-04-18 01:27:31.304456,M_05,64.051,1.0179,68.544,35.51,78.027,0
2025-04-18 02:27:31.304456,M_05,64.653,1.0039,68.055,33.365,79.027,0
2025-04-18 03:27:31.304456,M_05,65.286,1.0975,68.159,35.796,80.028,0
2025-04-18 04:27:31.304456,M_05,63.915,0.9842,68.301,33.455,81.028,0
2025-04-18 05:27:31.304456,M_05,63.479,1.0136,68.04,34.977,82.028,0
2025-04-18 06:27:31.304456,M_05,63.598,1.0917,67.531,34.55,83.029,0
