timestamp,temperature,vibration,pressure,humidity,runtime_hours,failure,failure_next_24h
2025-04-14 19:00:00,63.331,0.5768,38.356,27.697,0.0,0.0,0.0
2025-04-14 20:00:00,61.823,0.5861,38.883,29.725,1.0,0.0,0.0
2025-04-14 21:00:00,62.933,0.6934,38.334,27.652,2.001,0.0,0.0
2025-04-14 22:00:00,64.765,0.5277,39.129,30.091,3.001,0.0,0.0
2025-04-14 23:00:00,63.885,0.5213,39.063,29.343,4.001,0.0,0.0
2025-04-15 00:00:00,61.86,0.5703,38.349,27.349,5.002,0.0,0.0
2025-04-15 01:00:00,61.988,0.6391,38.923,29.717,6.002,0.0,0.0
2025-04-15 02:00:00,62.967,0.4458,38.129,29.329,7.002,0.0,0.0
2025-04-15 03:00:00,60.436,0.6377,38.906,30.917,8.003,0.0,0.0
2025-04-15 04:00:00,61.421,0.6105,38.538,29.414,9.003,0.0,0.0
2025-04-15 05:00:00,63.064,0.5865,39.009,29.247,10.003,0.0,0.0
2025-04-15 06:00:00,62.34,0.5391,38.055,28.854,11.004,0.0,0.0
2025-04-15 07:00:00,64.829,0.6221,38.844,28.857,12.004,0.0,0.0
2025-04-15 08:00:00,61.781,0.6171,38.556,28.401,13.005,0.0,0.0
2025-04-15 09:00:00,61.284,0.5857,38.203,29.976,14.005,0.0,0.0
2025-04-15 10:00:00,61.49,0.6786,37.755,31.077,15.005,0.0,0.0
2025-04-15 11:00:00,62.592,0.6399,38.749,28.92,16.006,0.0,0.0
2025-04-15 12:00:00,62.399,0.5938,38.669,30.874,17.006,0.0,0.0
2025-04-15 13:00:00,65.285,0.594,39.461,29.61,18.006,0.0,0.0
2025-04-15 14:00:00,62.147,0.6409,38.983,30.194,19.007,0.0,0.0
2025-04-15 15:00:00,62.709,0.6365,38.368,29.16,20.007,0.0,0.0
2025-04-15 16:00:00,63.721,0.6062,39.075,29.979,21.007,0.0,0.0
2025-04-15 17:00:00,62.548,0.5938,38.885,28.961,22.008,0.0,0.0
2025-04-15 18:00:00,63.361,0.673,38.698,29.863,23.008,0.0,0.0
2025-04-15 19:00:00,63.185,0.6427,38.999,27.56,24.008,0.0,0.0
2025-04-15 20:00:00,63.733,0.5585,38.324,30.466,25.009,0.0,0.0
2025-04-15 21:00:00,61.056,0.5982,38.157,30.553,26.009,0.0,0.0
2025-04-15 22:00:00,63.732,0.6914,39.135,29.814,27.009,0.0,0.0
2025-04-15 23:00:00,62.614,0.6896,39.33,31.416,28.01,0.0,0.0
2025-04-16 00:00:00,63.021,0.6859,38.46,29.465,29.01,0.0,0.0
2025-04-16 01:00:00,62.35,0.6749,38.823,28.71,30.01,0.0,0.0
2025-04-16 02:00:00,64.822,0.7564,37.549,30.695,31.011,0.0,0.0
2025-04-16 03:00:00,60.391,0.7187,39.088,30.494,32.011,0.0,0.0
2025-04-16 04:00:00,64.544,0.6615,38.548,31.916,33.011,0.0,0.0
2025-04-16 05:00:00,62.067,0.7472,39.26,30.456,34.012,0.0,0.0
2025-04-16 06:00:00,64.734,0.6845,38.417,32.086,35.012,0.0,0.0
2025-04-16 07:00:00,64.381,0.7859,38.267,30.437,36.013,0.0,0.0
2025-04-16 08:00:00,64.151,0.6348,38.891,30.69,37.013,0.0,0.0
2025-04-16 09:00:00,63.944,0.743,39.01,30.42,38.013,0.0,0.0
2025-04-16 10:00:00,65.687,0.6723,38.21,30.129,39.014,0.0,0.0
2025-04-16 11:00:00,62.27,0.6805,38.231,31.688,40.014,0.0,0.0
2025-04-16 12:00:00,62.303,0.6789,38.702,30.054,41.014,0.0,0.0
2025-04-16 13:00:00,62.231,0.7363,38.251,32.731,42.015,0.0,0.0
2025-04-16 14:00:00,64.145,0.7479,38.257,31.402,43.015,0.0,0.0
2025-04-16 15:00:00,61.493,0.7194,39.792,30.158,44.015,0.0,0.0
2025-04-16 16:00:00,64.282,0.641,37.28,30.848,45.016,0.0,0.0
2025-04-16 17:00:00,62.74,0.7363,38.607,30.554,46.016,0.0,0.0
2025-04-16 18:00:00,61.821,0.6137,38.976,28.76,47.016,0.0,0.0
2025-04-16 19:00:00,61.826,0.6843,38.466,32.699,48.017,0.0,0.0
2025-04-16 20:00:00,62.18,0.7797,38.228,28.664,49.017,0.0,0.0
2025-04-16 21:00:00,61.37,0.7249,38.673,30.345,50.017,0.0,0.0
2025-04-16 22:00:00,63.787,0.6981,37.845,30.742,51.018,0.0,0.0
2025-04-16 23:00:00,64.209,0.7894,39.345,28.852,52.018,0.0,0.0
2025-04-17 00:00:00,64.354,0.6572,39.469,31.768,53.018,0.0,0.0
2025-04-17 01:00:00,62.469,0.6644,38.75,29.572,54.019,0.0,0.0
